Date,Cases,Cumulative_cases,Country
2022-05-29,0,8,Central African Republic
2022-05-30,0,8,Central African Republic
2022-05-31,0,8,Central African Republic
2022-06-01,0,8,Central African Republic
2022-06-02,0,8,Central African Republic
2022-06-03,0,8,Central African Republic
2022-06-04,0,8,Central African Republic
2022-06-05,0,8,Central African Republic
2022-06-06,0,8,Central African Republic
2022-06-07,0,8,Central African Republic
2022-06-08,0,8,Central African Republic
2022-06-09,0,8,Central African Republic
2022-06-10,0,8,Central African Republic
2022-06-11,0,8,Central African Republic
2022-06-12,0,8,Central African Republic
2022-06-13,0,8,Central African Republic
2022-06-14,0,8,Central African Republic
2022-06-15,0,8,Central African Republic
2022-06-16,0,8,Central African Republic
2022-06-17,0,8,Central African Republic
2022-06-18,0,8,Central African Republic
2022-06-19,0,8,Central African Republic
2022-06-20,0,8,Central African Republic
2022-06-21,0,8,Central African Republic
2022-06-22,0,8,Central African Republic
2022-06-23,0,8,Central African Republic
2022-06-24,0,8,Central African Republic
2022-06-25,0,8,Central African Republic
2022-06-26,0,8,Central African Republic
2022-06-27,0,8,Central African Republic
2022-06-28,0,8,Central African Republic
2022-06-29,0,8,Central African Republic
2022-06-30,0,8,Central African Republic
2022-07-01,0,8,Central African Republic
2022-07-02,0,8,Central African Republic
2022-07-03,0,8,Central African Republic
2022-07-04,0,8,Central African Republic
2022-07-05,0,8,Central African Republic
2022-07-06,0,8,Central African Republic
2022-07-07,0,8,Central African Republic
2022-07-08,0,8,Central African Republic
2022-07-09,0,8,Central African Republic
2022-07-10,0,8,Central African Republic
2022-07-11,0,8,Central African Republic
2022-07-12,0,8,Central African Republic
2022-06-17,1,1,Chile
2022-06-18,0,1,Chile
2022-06-19,0,1,Chile
2022-06-20,1,2,Chile
2022-06-21,1,3,Chile
2022-06-22,0,3,Chile
2022-06-23,3,6,Chile
2022-06-24,1,7,Chile
2022-06-25,0,7,Chile
2022-06-26,1,8,Chile
2022-06-27,0,8,Chile
2022-06-28,0,8,Chile
2022-06-29,0,8,Chile
2022-06-30,0,8,Chile
2022-07-01,0,8,Chile
2022-07-02,0,8,Chile
2022-07-03,1,9,Chile
2022-07-04,4,13,Chile
2022-07-05,0,13,Chile
2022-07-06,0,13,Chile
2022-07-07,0,13,Chile
2022-07-08,0,13,Chile
2022-07-09,0,13,Chile
2022-07-10,0,13,Chile
2022-07-11,0,13,Chile
2022-07-12,0,13,Chile
2022-06-23,3,3,Colombia
2022-06-24,0,3,Colombia
2022-06-25,0,3,Colombia
2022-06-26,0,3,Colombia
2022-06-27,0,3,Colombia
2022-06-28,0,3,Colombia
2022-06-29,0,3,Colombia
2022-06-30,0,3,Colombia
2022-07-01,0,3,Colombia
2022-07-02,2,5,Colombia
2022-07-03,0,5,Colombia
2022-07-04,0,5,Colombia
2022-07-05,0,5,Colombia
2022-07-06,0,5,Colombia
2022-07-07,0,5,Colombia
2022-07-08,0,5,Colombia
2022-07-09,0,5,Colombia
2022-07-10,0,5,Colombia
2022-07-11,0,5,Colombia
2022-07-12,0,5,Colombia
2022-06-23,1,1,Croatia
2022-06-24,0,1,Croatia
2022-06-25,0,1,Croatia
2022-06-26,0,1,Croatia
2022-06-27,0,1,Croatia
2022-06-28,0,1,Croatia
2022-06-29,0,1,Croatia
2022-06-30,0,1,Croatia
2022-07-01,0,1,Croatia
2022-07-02,0,1,Croatia
2022-07-03,0,1,Croatia
2022-07-04,0,1,Croatia
2022-07-05,0,1,Croatia
2022-07-06,0,1,Croatia
2022-07-07,0,1,Croatia
2022-07-08,0,1,Croatia
2022-07-09,0,1,Croatia
2022-07-10,0,1,Croatia
2022-07-11,0,1,Croatia
2022-07-12,0,1,Croatia
2022-05-24,1,1,Czech Republic
2022-05-25,0,1,Czech Republic
2022-05-26,4,5,Czech Republic
2022-05-27,0,5,Czech Republic
2022-05-28,0,5,Czech Republic
2022-05-29,0,5,Czech Republic
2022-05-30,0,5,Czech Republic
2022-05-31,0,5,Czech Republic
2022-06-01,0,5,Czech Republic
2022-06-02,1,6,Czech Republic
2022-06-03,0,6,Czech Republic
2022-06-04,0,6,Czech Republic
2022-06-05,0,6,Czech Republic
2022-06-06,0,6,Czech Republic
2022-06-07,0,6,Czech Republic
2022-06-08,0,6,Czech Republic
2022-06-09,0,6,Czech Republic
2022-06-10,0,6,Czech Republic
2022-06-11,0,6,Czech Republic
2022-06-12,0,6,Czech Republic
2022-06-13,0,6,Czech Republic
2022-06-14,0,6,Czech Republic
2022-06-15,0,6,Czech Republic
2022-06-16,0,6,Czech Republic
2022-06-17,0,6,Czech Republic
2022-06-18,0,6,Czech Republic
2022-06-19,0,6,Czech Republic
2022-06-20,0,6,Czech Republic
2022-06-21,0,6,Czech Republic
2022-06-22,1,7,Czech Republic
2022-06-23,0,7,Czech Republic
2022-06-24,0,7,Czech Republic
2022-06-25,0,7,Czech Republic
2022-06-26,0,7,Czech Republic
2022-06-27,0,7,Czech Republic
2022-06-28,1,8,Czech Republic
2022-06-29,0,8,Czech Republic
2022-06-30,0,8,Czech Republic
2022-07-01,0,8,Czech Republic
2022-07-02,0,8,Czech Republic
2022-07-03,0,8,Czech Republic
2022-07-04,0,8,Czech Republic
2022-07-05,0,8,Czech Republic
2022-07-06,0,8,Czech Republic
2022-07-07,0,8,Czech Republic
2022-07-08,0,8,Czech Republic
2022-07-09,0,8,Czech Republic
2022-07-10,0,8,Czech Republic
2022-07-11,0,8,Czech Republic
2022-07-12,0,8,Czech Republic
2022-05-29,10,10,Democratic Republic Of The Congo
2022-05-30,0,10,Democratic Republic Of The Congo
2022-05-31,0,10,Democratic Republic Of The Congo
2022-06-01,0,10,Democratic Republic Of The Congo
2022-06-02,0,10,Democratic Republic Of The Congo
2022-06-03,0,10,Democratic Republic Of The Congo
2022-06-04,0,10,Democratic Republic Of The Congo
2022-06-05,97,107,Democratic Republic Of The Congo
2022-06-06,0,107,Democratic Republic Of The Congo
2022-06-07,0,107,Democratic Republic Of The Congo
2022-06-08,0,107,Democratic Republic Of The Congo
2022-06-09,0,107,Democratic Republic Of The Congo
2022-06-10,0,107,Democratic Republic Of The Congo
2022-06-11,0,107,Democratic Republic Of The Congo
2022-06-12,0,107,Democratic Republic Of The Congo
2022-06-13,0,107,Democratic Republic Of The Congo
2022-06-14,0,107,Democratic Republic Of The Congo
2022-06-15,0,107,Democratic Republic Of The Congo
2022-06-16,0,107,Democratic Republic Of The Congo
2022-06-17,0,107,Democratic Republic Of The Congo
2022-06-18,0,107,Democratic Republic Of The Congo
2022-06-19,0,107,Democratic Republic Of The Congo
2022-06-20,0,107,Democratic Republic Of The Congo
2022-06-21,0,107,Democratic Republic Of The Congo
2022-06-22,0,107,Democratic Republic Of The Congo
2022-06-23,0,107,Democratic Republic Of The Congo
2022-06-24,0,107,Democratic Republic Of The Congo
2022-06-25,0,107,Democratic Republic Of The Congo
2022-06-26,0,107,Democratic Republic Of The Congo
2022-06-27,0,107,Democratic Republic Of The Congo
2022-06-28,0,107,Democratic Republic Of The Congo
2022-06-29,0,107,Democratic Republic Of The Congo
2022-06-30,0,107,Democratic Republic Of The Congo
2022-07-01,0,107,Democratic Republic Of The Congo
2022-07-02,0,107,Democratic Republic Of The Congo
2022-07-03,0,107,Democratic Republic Of The Congo
2022-07-04,0,107,Democratic Republic Of The Congo
2022-07-05,0,107,Democratic Republic Of The Congo
2022-07-06,0,107,Democratic Republic Of The Congo
2022-07-07,0,107,Democratic Republic Of The Congo
2022-07-08,0,107,Democratic Republic Of The Congo
2022-07-09,0,107,Democratic Republic Of The Congo
2022-07-10,0,107,Democratic Republic Of The Congo
2022-07-11,0,107,Democratic Republic Of The Congo
2022-07-12,0,107,Democratic Republic Of The Congo
2022-05-23,1,1,Denmark
2022-05-24,1,2,Denmark
2022-05-25,0,2,Denmark
2022-05-26,0,2,Denmark
2022-05-27,0,2,Denmark
2022-05-28,0,2,Denmark
2022-05-29,0,2,Denmark
2022-05-30,0,2,Denmark
2022-05-31,0,2,Denmark
2022-06-01,0,2,Denmark
2022-06-02,0,2,Denmark
2022-06-03,0,2,Denmark
2022-06-04,0,2,Denmark
2022-06-05,0,2,Denmark
2022-06-06,0,2,Denmark
2022-06-07,0,2,Denmark
2022-06-08,0,2,Denmark
2022-06-09,0,2,Denmark
2022-06-10,2,4,Denmark
2022-06-11,0,4,Denmark
2022-06-12,0,4,Denmark
2022-06-13,0,4,Denmark
2022-06-14,0,4,Denmark
2022-06-15,0,4,Denmark
2022-06-16,4,8,Denmark
2022-06-17,0,8,Denmark
2022-06-18,0,8,Denmark
2022-06-19,0,8,Denmark
2022-06-20,2,10,Denmark
2022-06-21,2,12,Denmark
2022-06-22,1,13,Denmark
2022-06-23,0,13,Denmark
2022-06-24,0,13,Denmark
2022-06-25,0,13,Denmark
2022-06-26,0,13,Denmark
2022-06-27,3,16,Denmark
2022-06-28,0,16,Denmark
2022-06-29,2,18,Denmark
2022-06-30,0,18,Denmark
2022-07-01,0,18,Denmark
2022-07-02,0,18,Denmark
2022-07-03,0,18,Denmark
2022-07-04,0,18,Denmark
2022-07-05,0,18,Denmark
2022-07-06,0,18,Denmark
2022-07-07,0,18,Denmark
2022-07-08,10,28,Denmark
2022-07-09,0,28,Denmark
2022-07-10,0,28,Denmark
2022-07-11,1,29,Denmark
2022-07-12,0,29,Denmark
2022-07-06,1,1,Dominican Republic
2022-07-07,0,1,Dominican Republic
2022-07-08,0,1,Dominican Republic
2022-07-09,0,1,Dominican Republic
2022-07-10,0,1,Dominican Republic
2022-07-11,0,1,Dominican Republic
2022-07-12,0,1,Dominican Republic
2022-07-06,1,1,Ecuador
2022-07-07,0,1,Ecuador
2022-07-08,0,1,Ecuador
2022-07-09,0,1,Ecuador
2022-07-10,0,1,Ecuador
2022-07-11,0,1,Ecuador
2022-07-12,0,1,Ecuador
2022-06-28,1,1,Estonia
2022-06-29,0,1,Estonia
2022-06-30,0,1,Estonia
2022-07-01,0,1,Estonia
2022-07-02,0,1,Estonia
2022-07-03,0,1,Estonia
2022-07-04,0,1,Estonia
2022-07-05,0,1,Estonia
2022-07-06,0,1,Estonia
2022-07-07,0,1,Estonia
2022-07-08,0,1,Estonia
2022-07-09,0,1,Estonia
2022-07-10,0,1,Estonia
2022-07-11,0,1,Estonia
2022-07-12,0,1,Estonia
