date,country,count
2022-05-03,Spain,1
2022-05-04,Spain,2
2022-05-05,Spain,2
2022-05-06,Spain,5
2022-05-07,Spain,2
2022-05-08,Spain,2
2022-05-09,Spain,7
2022-05-10,Spain,6
2022-05-11,Spain,8
2022-05-12,Spain,10
2022-05-13,Spain,7
2022-05-14,Spain,4
2022-05-15,Spain,13
2022-05-16,Spain,21
2022-05-17,Spain,12
2022-05-18,Spain,9
2022-05-19,Spain,23
2022-05-20,Spain,12
2022-05-21,Spain,19
2022-05-22,Spain,28
2022-05-23,Spain,17
2022-05-24,Spain,16
2022-05-25,Spain,24
2022-05-26,Spain,14
2022-05-27,Spain,16
2022-05-28,Spain,17
2022-05-29,Spain,15
2022-05-30,Spain,38
2022-05-31,Spain,40
2022-06-01,Spain,51
2022-06-02,Spain,31
2022-06-03,Spain,46
2022-06-04,Spain,29
2022-06-05,Spain,36
2022-06-06,Spain,47
2022-06-07,Spain,38
2022-06-08,Spain,47
2022-06-09,Spain,48
2022-06-10,Spain,60
2022-06-11,Spain,60
2022-06-12,Spain,63
2022-06-13,Spain,77
2022-06-14,Spain,44
2022-06-15,Spain,35
2022-06-16,Spain,52
2022-06-17,Spain,42
2022-06-18,Spain,27
2022-06-19,Spain,41
2022-06-20,Spain,40
2022-06-21,Spain,37
2022-06-22,Spain,41
2022-06-23,Spain,15
2022-06-24,Spain,28
2022-06-25,Spain,10
2022-06-26,Spain,7
2022-06-27,Spain,13
2022-06-28,Spain,11
2022-06-29,Spain,1
2022-06-30,Spain,3
2022-07-01,Spain,1
2022-05-05,Sweden,1
2022-05-12,Sweden,1
2022-05-14,Sweden,1
2022-05-17,Sweden,1
2022-05-24,Sweden,1
2022-05-27,Sweden,2
2022-05-29,Sweden,1
2022-06-02,Sweden,2
2022-06-03,Sweden,1
2022-06-07,Sweden,1
2022-06-12,Sweden,2
2022-06-13,Sweden,1
2022-06-14,Sweden,2
2022-06-17,Sweden,3
2022-06-18,Sweden,2
2022-06-19,Sweden,1
2022-06-20,Sweden,2
2022-06-21,Sweden,1
2022-06-23,Sweden,2
2022-06-24,Sweden,1
2022-06-25,Sweden,2
2022-06-26,Sweden,1
2022-06-28,Sweden,2
2022-06-29,Sweden,5
2022-06-30,Sweden,3
2022-07-01,Sweden,2
2022-07-02,Sweden,3
2022-07-03,Sweden,2
2022-05-24,Switzerland,1
2022-05-29,Switzerland,1
2022-05-30,Switzerland,1
2022-06-03,Switzerland,1
2022-06-05,Switzerland,1
2022-06-06,Switzerland,1
2022-06-07,Switzerland,3
2022-06-08,Switzerland,3
2022-06-09,Switzerland,1
2022-06-10,Switzerland,2
2022-06-11,Switzerland,3
2022-06-12,Switzerland,4
2022-06-13,Switzerland,3
2022-06-14,Switzerland,4
2022-06-15,Switzerland,1
2022-06-17,Switzerland,4
2022-06-18,Switzerland,7
2022-06-19,Switzerland,2
2022-06-20,Switzerland,6
2022-06-21,Switzerland,3
2022-06-22,Switzerland,3
2022-06-23,Switzerland,3
2022-06-24,Switzerland,5
2022-06-25,Switzerland,2
2022-06-26,Switzerland,3
2022-06-27,Switzerland,8
2022-06-28,Switzerland,7
2022-06-29,Switzerland,7
2022-06-30,Switzerland,4
2022-07-01,Switzerland,8
2022-07-02,Switzerland,6
2022-07-03,Switzerland,3
2022-07-04,Switzerland,4
2022-07-05,Switzerland,9
2022-07-06,Switzerland,3
2022-07-07,Switzerland,2
2022-04-17,United Kingdom,1
2022-04-22,United Kingdom,1
2022-04-23,United Kingdom,1
2022-04-24,United Kingdom,2
2022-04-25,United Kingdom,1
2022-04-29,United Kingdom,3
2022-04-30,United Kingdom,3
2022-05-01,United Kingdom,2
2022-05-02,United Kingdom,8
2022-05-04,United Kingdom,4
2022-05-05,United Kingdom,5
2022-05-06,United Kingdom,2
